ISTASYON,PROJE_ADI,PROJE_ASAMA,HAT_TURU,MUDURLUK,display_name
Yenikapı,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Aksaray Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34096, Türkiye"
Üçyüzlü,M1B Yenikapı - Kirazlı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Bağcılar Merkez Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
Beyazıt,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Beyazıt Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
Zeytinburnu,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Osmaniye Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34146, Türkiye"
Cumhuriyet Mah.,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Oruçreis Mahallesi, Esenler, İstanbul, Marmara Bölgesi, 34235, Türkiye"
Dünya  Ticaret Merkezi,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Yeşilköy Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
Yamanevler,M5 Üsküdar - Çekmeköy Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Yamanevler Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Feneryolu,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Feneryolu Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
Kaynarca,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34890, Türkiye"
Nurtepe,M7 Yıldız - Mahmutbey Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Nurtepe Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, Türkiye"
Aydıntepe,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Aydıntepe Mahallesi, Tuzla, İstanbul, Marmara Bölgesi, Türkiye"
Cevizli,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Orhantepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Yenimahalle,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Kartaltepe Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34145, Türkiye"
Alibeyköy,M7 Yıldız - Mahmutbey Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Alibeyköy Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
Başak,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Petrol-İş Mahallesi, İstanbul, Marmara Bölgesi, 34862, Türkiye"
Eminönü,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Hobyar Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34112, Türkiye"
Topçular,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Topçular Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34055, Türkiye"
